tipo_curva;plazo;tasa;date
CCPSS;90;6.99303;11/11/2022
CCPSS;3600;7.73811;11/11/2022
CCPSS;90;6.99006;14/11/2022
CCPSS;3600;7.71232;14/11/2022
CCPSS;90;6.99184;15/11/2022
CCPSS;3600;7.75935;15/11/2022
CCPSS;90;6.99855;16/11/2022
CCPSS;3600;7.85582;16/11/2022
CCPSS;90;6.99961;17/11/2022
CCPSS;3600;7.89863;17/11/2022
CCPSS;90;7.00023;18/11/2022
CCPSS;3600;7.91735;18/11/2022
CCPSS;90;6.99684;21/11/2022
CCPSS;3600;7.85216;21/11/2022
CCPSS;90;6.99301;22/11/2022
CCPSS;3600;7.79555;22/11/2022
CCPSS;90;6.99085;23/11/2022
CCPSS;3600;7.75966;23/11/2022
CCPSS;90;6.93509;24/11/2022
CCPSS;3600;7.72680;24/11/2022
CCPSS;90;6.93571;25/11/2022
CCPSS;3600;7.74472;25/11/2022
CCPSS;90;6.93464;28/11/2022
CCPSS;3600;7.71532;28/11/2022
CCPSS;90;6.93291;29/11/2022
CCPSS;3600;7.66961;29/11/2022
CCPSS;90;6.93022;30/11/2022
CCPSS;3600;7.60036;30/11/2022
CCPSS;90;6.92680;1/12/2022
CCPSS;3600;7.51081;1/12/2022
CCPSS;90;6.92779;2/12/2022
CCPSS;3600;7.53763;2/12/2022
CCPSS;90;6.92943;5/12/2022
CCPSS;3600;7.57746;5/12/2022
CCPSS;90;6.93036;6/12/2022
CCPSS;3600;7.60085;6/12/2022
CCPSS;90;6.92868;7/12/2022
CCPSS;3600;7.56685;7/12/2022
CCPSS;90;6.92868;8/12/2022
CCPSS;3600;7.56685;8/12/2022
CCPSS;90;6.92868;9/12/2022
CCPSS;3600;7.56685;9/12/2022
CCPSS;90;6.93105;12/12/2022
CCPSS;3600;7.63089;12/12/2022
CCPSS;90;6.85650;13/12/2022
CCPSS;3600;7.78512;13/12/2022
CCPSS;90;6.79569;14/12/2022
CCPSS;3600;7.85031;14/12/2022
CCPSS;90;6.82289;15/12/2022
CCPSS;3600;7.89975;15/12/2022
CCPSS;90;6.83708;16/12/2022
CCPSS;3600;7.98861;16/12/2022
CCPSS;90;6.84269;19/12/2022
CCPSS;3600;8.08382;19/12/2022
CCPSS;90;6.90981;20/12/2022
CCPSS;3600;8.11757;20/12/2022
CCPSS;90;7.00880;21/12/2022
CCPSS;3600;8.06495;21/12/2022
CCPSS;90;7.01414;22/12/2022
CCPSS;3600;8.03544;22/12/2022
CCPSS;90;7.02647;23/12/2022
CCPSS;3600;8.03377;23/12/2022
CCPSS;90;7.02023;26/12/2022
CCPSS;3600;8.00104;26/12/2022
CCPSS;90;6.89150;27/12/2022
CCPSS;3600;8.00514;27/12/2022
CCPSS;90;7.03392;28/12/2022
CCPSS;3600;8.10004;28/12/2022
CCPSS;90;7.00685;29/12/2022
CCPSS;3600;8.04116;29/12/2022
CCPSS;90;7.01897;30/12/2022
CCPSS;3600;8.04099;30/12/2022
CCPSS;90;7.02658;2/01/2023
CCPSS;3600;8.08058;2/01/2023
CCPSS;90;7.03520;3/01/2023
CCPSS;3600;8.09329;3/01/2023
CCPSS;90;7.04082;4/01/2023
CCPSS;3600;8.08474;4/01/2023
CCPSS;90;7.04359;5/01/2023
CCPSS;3600;8.08346;5/01/2023
CCPSS;90;7.03611;6/01/2023
CCPSS;3600;7.92595;6/01/2023
CCPSS;90;7.08416;9/01/2023
CCPSS;3600;7.83734;9/01/2023
CCPSS;90;7.10572;10/01/2023
CCPSS;3600;7.83878;10/01/2023
CCPSS;90;7.11525;11/01/2023
CCPSS;3600;7.84538;11/01/2023
CCPSS;90;7.12112;12/01/2023
CCPSS;3600;7.82056;12/01/2023
CCPSS;90;7.15512;13/01/2023
CCPSS;3600;8.03514;13/01/2023
CCPSS;90;7.16300;16/01/2023
CCPSS;3600;8.09067;16/01/2023
CCPSS;90;7.15884;17/01/2023
CCPSS;3600;8.14291;17/01/2023
CCPSS;90;7.15782;18/01/2023
CCPSS;3600;8.06254;18/01/2023
CCPSS;90;7.17357;19/01/2023
CCPSS;3600;8.11641;19/01/2023
CCPSS;90;7.19332;20/01/2023
CCPSS;3600;8.09810;20/01/2023
CCPSS;90;7.20110;23/01/2023
CCPSS;3600;8.04532;23/01/2023
CCPSS;90;7.21542;24/01/2023
CCPSS;3600;8.11536;24/01/2023
CCPSS;90;7.22179;25/01/2023
CCPSS;3600;8.15820;25/01/2023
CCPSS;90;7.21099;26/01/2023
CCPSS;3600;8.12336;26/01/2023
CCPSS;90;7.20283;27/01/2023
CCPSS;3600;8.05274;27/01/2023
CCPSS;90;7.22100;30/01/2023
CCPSS;3600;8.14763;30/01/2023
CCPSS;90;7.25087;31/01/2023
CCPSS;3600;8.18756;31/01/2023
CCPSS;90;7.25401;1/02/2023
CCPSS;3600;8.06071;1/02/2023
CCPSS;90;7.23495;2/02/2023
CCPSS;3600;7.90118;2/02/2023
CCPSS;90;7.23916;3/02/2023
CCPSS;3600;7.90716;3/02/2023
CCPSS;90;7.17943;6/02/2023
CCPSS;3600;7.90172;6/02/2023
CCPSS;90;7.20286;7/02/2023
CCPSS;3600;7.90224;7/02/2023
CCPSS;90;7.22778;8/02/2023
CCPSS;3600;7.93252;8/02/2023
CCPSS;90;7.20043;9/02/2023
CCPSS;3600;7.87443;9/02/2023
CCPSS;90;7.19013;10/02/2023
CCPSS;3600;7.75918;10/02/2023
CCPSS;90;7.15707;13/02/2023
CCPSS;3600;7.83900;13/02/2023
CCPSS;90;7.09932;14/02/2023
CCPSS;3600;7.92696;14/02/2023
CCPSS;90;7.16224;15/02/2023
CCPSS;3600;7.94002;15/02/2023
CCPSS;90;7.17522;16/02/2023
CCPSS;3600;7.95897;16/02/2023
CCPSS;90;7.15422;17/02/2023
CCPSS;3600;7.90495;17/02/2023
CCPSS;90;7.11923;20/02/2023
CCPSS;3600;7.89231;20/02/2023
CCPSS;90;7.13851;21/02/2023
CCPSS;3600;7.93292;21/02/2023
CCPSS;90;7.11971;22/02/2023
CCPSS;3600;7.90160;22/02/2023
CCPSS;90;7.11651;23/02/2023
CCPSS;3600;7.93627;23/02/2023
CCPSS;90;7.13794;24/02/2023
CCPSS;3600;8.01884;24/02/2023
CCPSS;90;7.11672;27/02/2023
CCPSS;3600;8.07170;27/02/2023
CCPSS;90;7.08027;28/02/2023
CCPSS;3600;8.04387;28/02/2023
CCPSS;90;7.06932;1/03/2023
CCPSS;3600;8.00907;1/03/2023
CCPSS;90;7.09780;2/03/2023
CCPSS;3600;8.09996;2/03/2023
CCPSS;90;7.06626;3/03/2023
CCPSS;3600;8.12876;3/03/2023
CCPSS;90;7.07705;6/03/2023
CCPSS;3600;8.11830;6/03/2023
CCPSS;90;7.06897;7/03/2023
CCPSS;3600;8.09293;7/03/2023
CCPSS;90;7.05595;8/03/2023
CCPSS;3600;8.06208;8/03/2023
CCPSS;90;7.28918;9/03/2023
CCPSS;3600;8.04860;9/03/2023
CCPSS;90;7.26832;10/03/2023
CCPSS;3600;7.94432;10/03/2023
CCPSS;90;7.30477;13/03/2023
CCPSS;3600;7.91414;13/03/2023
CCPSS;90;7.28678;14/03/2023
CCPSS;3600;7.91555;14/03/2023
CCPSS;90;7.36423;15/03/2023
